species,Predicted_Slope,Predicted_Intercept
Ap,0.201172999600996,-0.261198284933628
Hop,-0.195549473340219,0.133647513077926
Ku,-0.563818107357724,0.479718942081857
Lt,-0.502458422700713,0.420058177441351
Mp,-0.141184585644924,0.081700702535064
Pk,-0.0763693172422866,0.0173248373924213
Sc5,-0.588815481292132,0.502979733421423
Sc8,-0.54915629479681,0.467462326991417
Sp,0.000995040021595339,-0.0559669608112289
Td,-0.471669151586205,0.394647591489451
Wa,-0.193286695520585,0.126643289333867
Zb,-0.436950959568319,0.356978802353341
