"species","slope","intercept"
"Ap",-0.134940730683881,0.0712756490010766
"Hop",-0.386979069328544,0.270261992616672
"Ku",-0.291947702885653,0.171382056317871
"Lt",-0.786326722397649,0.702743973462013
"Mp",-0.155438149508706,0.020194865206849
"Pk",-0.177506095855213,0.0370517836847333
"Sc5",-0.801424609357139,0.733375266446294
"Sc8",-0.855270324578209,0.784977031830189
"Sp",-0.676469973980054,0.585680809473536
"Td",-0.516499764382016,0.413415482261354
"Wa",-0.0419084176728608,-0.0134072178666326
"Zb",-0.22548101651524,0.188875140477717
